title,price,image,buyUrl,viewUrl,category,featured
Converse Comme des Garçons,$27,image156.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247457746&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247457746&ref=300004734,Shoes,FALSE
LAVIN CURB,$69,image259.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245621785&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245621785&ref=300004734,Shoes,FALSE
GUCCI,$78,image148.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273406719&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273406719&ref=300004734,Shoes,FALSE
GUCCI,$57,image136.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273671311&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273671311&ref=300004734,Shoes,FALSE
GUCCI,$57,image140.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273763757&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273763757&ref=300004734,Shoes,FALSE
GUCCI,$62,image141.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273759797&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273759797&ref=300004734,Shoes,FALSE
"ASICS Gel
(ALL COLORWAYS)",$47,image144.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7285279814&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7285279814&ref=300004734,Shoes,FALSE
ASICS,$42,image147.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7274669272&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7274669272&ref=300004734,Shoes,FALSE
CHANEL,$73,image146.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7274665312&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7274665312&ref=300004734,Shoes,FALSE
"TIMBS
(MULTIPLE COLORWAYS AND STYLES)",$50,image142.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7284285801&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7284285801&ref=300004734,Shoes,FALSE
LOAFERS,$24,image150.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7287926462&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7287926462&ref=300004734,Shoes,FALSE
PRADA,$39,image158.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7285224732&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7285224732&ref=300004734,Shoes,FALSE
